Model,Accuracy,Precision,Recall,Specificity,F1-Score,AUC-ROC,TP,TN,FP,FN
Neural Network,0.7922077922077922,0.6617647058823529,0.8333333333333334,0.77,0.7377049180327869,0.8314814814814814,45,77,23,9
Random Forest,0.7337662337662337,0.6031746031746031,0.7037037037037037,0.75,0.6495726495726496,0.8272222222222223,38,75,25,16
SVM,0.7532467532467533,0.6176470588235294,0.7777777777777778,0.74,0.6885245901639344,0.8175925925925925,42,74,26,12
Logistic Regression,0.7272727272727273,0.5967741935483871,0.6851851851851852,0.75,0.6379310344827587,0.8125925925925925,37,75,25,17
Decision Tree,0.6883116883116883,0.546875,0.6481481481481481,0.71,0.5932203389830508,0.7771296296296295,35,71,29,19
